N,P,K,pH,S,Fe,Cu,Mn,B,Texture,Season,Rainfall,Avg.Temp,
295,9.9,486,7.4,6.64,3.21,1.25,5.25,0.23,9,1,105.4120514,18.87614998,2
238,6.8,327,7.54,4.8,2.44,0.93,7.36,0.09,3,0,89.61857826,19.12829388,1
220,9,454,7.29,4.52,4.15,0.84,8.05,0.29,7,0,71.64631281,30.32992227,0
207,12.3,496,7.6,5.73,8.55,1.25,14.51,0.32,9,1,116.5206923,21.42451099,2
207,5.9,243,7.62,7.2,2.47,0.73,7.63,0.21,3,0,71.58010169,18.72963144,1
282,12.9,612,7.9,6.6,1.29,0.33,6.21,0.61,8,0,36.12042927,28.02952623,6
213,7.5,306,7.63,8.45,3.2,1.77,9.63,0.32,8,0,50.1978269,29.61253065,5
358,9.2,370,7.59,5.13,3.55,2.02,7.51,0.34,8,1,197.1144011,28.09269012,7
345,96.5,422,7.37,5.43,7.05,0.6,6.32,0.34,7,0,38.71834464,21.12695586,3
207,7.9,612,7.44,14.6,0.47,1.47,3.16,1.88,5,1,257.0343554,24.17298839,8
320,7.5,433,7.46,8.14,9.32,0.78,9.32,0.5,8,0,94.46748008,26.88630675,7
232,11.4,570,8.1,7.1,0.63,0.42,4.32,1.13,1,0,43.25726752,27.95639663,6
351,10.7,623,7.96,7.24,4.69,0.69,11.03,0.69,7,0,36.68284038,25.86928193,3
351,9.9,570,7.4,9.65,3.79,1.33,13.05,0.31,9,1,100.6711761,17.66148158,2
75,59.2,549,7.5,10.56,3.05,0.93,6.32,0.69,8,0,44.64407105,27.88352946,6
307,8.3,11,7.49,15.8,0.57,0.73,2.13,2.47,5,1,233.1075816,21.0525355,8
264,10.7,444,7.8,10.86,8.22,0.91,10.25,0.29,8,1,36.5037914,27.32220619,5
282,8.3,486,7.47,3.2,2.66,0.64,8.57,0.14,4,0,65.50861389,19.74213321,4
88,7.5,444,7.5,7.84,4.05,1.63,7.63,0.34,4,0,94.29712821,23.31689124,4
339,6.8,570,7.5,1.7,1.45,0.33,2.72,0.36,7,0,70.1415139,34.9466155,0
